# 	 nlin 	 lin
3800 	 1.559 	 0.604
3800 	 1.514 	 0.612
3900 	 1.644 	 0.607
3900 	 1.590 	 0.647
3900 	 1.582 	 0.654
3900 	 1.627 	 0.637
3900 	 1.636 	 0.605
4000 	 1.694 	 0.651
4000 	 1.706 	 0.682
4000 	 1.667 	 0.670
4000 	 1.690 	 0.631
4000 	 1.695 	 0.679
4100 	 1.891 	 0.775
4100 	 1.877 	 0.777
4100 	 1.880 	 0.807
4100 	 1.863 	 0.798
4100 	 1.893 	 0.801
4200 	 1.989 	 0.831
4200 	 1.985 	 0.833
4200 	 2.052 	 0.845
4200 	 2.011 	 0.832
4200 	 1.978 	 0.827
4300 	 2.084 	 0.900
4300 	 2.055 	 0.893
4300 	 2.102 	 0.807
4300 	 2.104 	 0.872
4300 	 2.106 	 0.848
4400 	 2.154 	 0.934
4400 	 2.249 	 0.945
4400 	 2.237 	 0.913
4400 	 2.257 	 0.936
4400 	 2.204 	 0.927
4500 	 2.334 	 0.954
4500 	 2.261 	 0.963
4500 	 2.301 	 1.071
4500 	 2.273 	 0.978
4500 	 2.289 	 0.957
4600 	 2.365 	 0.985
4600 	 2.443 	 1.009
4600 	 2.428 	 1.008
4600 	 2.450 	 1.005
4600 	 2.399 	 1.019
4700 	 2.524 	 1.026
4700 	 2.576 	 1.089
4700 	 2.534 	 1.092
4700 	 2.534 	 1.108
4700 	 2.551 	 1.041
4800 	 2.705 	 1.150
4800 	 2.642 	 1.125
4800 	 2.700 	 1.137
4800 	 2.671 	 1.121
4800 	 2.617 	 1.137
4900 	 2.781 	 1.141
4900 	 2.747 	 1.148
4900 	 2.807 	 1.173
4900 	 2.633 	 1.151
4900 	 2.789 	 1.183
5000 	 2.919 	 1.215
5000 	 2.856 	 1.165
5000 	 2.883 	 1.216
5000 	 2.850 	 1.205
5000 	 2.873 	 1.208
